"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2022","116.97","114.94","116.97","114.76","714.03K","1.17%"
"09/07/2022","115.62","114.37","115.87","114.23","347.42K","0.97%"
"09/06/2022","114.51","115.22","115.80","114.07","631.51K","-0.99%"
"09/02/2022","115.66","116.10","117.75","115.08","770.49K","0.73%"
"09/01/2022","114.82","113.77","115.00","113.18","1.15M","-1.04%"
"08/31/2022","116.03","117.77","117.90","116.00","905.26K","-1.29%"
"08/30/2022","117.55","119.27","119.27","116.62","725.53K","-0.62%"
"08/29/2022","118.28","118.49","119.14","117.50","583.87K","-0.36%"
"08/26/2022","118.71","121.99","122.60","118.64","997.48K","-2.46%"
"08/25/2022","121.70","119.93","122.33","119.14","1.15M","2.31%"
"08/24/2022","118.95","118.28","119.84","118.28","482.98K","0.58%"
"08/23/2022","118.26","117.75","119.90","117.75","778.34K","0.18%"
"08/22/2022","118.05","120.11","120.29","117.81","803.50K","-2.90%"
"08/19/2022","121.58","121.92","121.98","121.31","503.80K","-0.70%"
"08/18/2022","122.44","121.07","122.91","121.01","973.85K","1.21%"
"08/17/2022","120.98","120.94","121.69","120.69","886.09K","-1.35%"
"08/16/2022","122.64","122.32","123.25","121.58","761.22K","0.18%"
"08/15/2022","122.42","120.96","122.63","120.96","773.66K","0.38%"
"08/12/2022","121.96","121.02","122.55","120.37","1.17M","1.54%"
"08/11/2022","120.11","120.81","121.67","120.01","1.69M","0.07%"
"08/10/2022","120.03","118.41","120.23","118.31","1.26M","2.98%"
"08/09/2022","116.56","116.56","117.00","115.87","1.34M","-0.55%"
"08/08/2022","117.21","117.26","118.36","116.60","811.65K","-0.03%"
"08/05/2022","117.25","115.53","117.77","115.53","1.77M","0.21%"
"08/04/2022","117.00","116.88","117.79","116.76","1.12M","0.10%"
"08/03/2022","116.88","116.31","117.97","115.81","1.14M","0.98%"
"08/02/2022","115.74","115.14","116.59","114.76","657.38K","-0.37%"
"08/01/2022","116.17","114.92","116.57","114.91","625.46K","-0.03%"
"07/29/2022","116.20","116.85","117.50","115.96","943.96K","-0.14%"
"07/28/2022","116.36","115.34","116.86","114.22","749.74K","0.54%"
"07/27/2022","115.73","113.60","116.46","113.51","916.85K","2.01%"
"07/26/2022","113.45","113.42","114.65","113.11","748.81K","-0.02%"
"07/25/2022","113.47","113.93","114.24","113.02","725.06K","-0.11%"
"07/22/2022","113.60","115.47","116.24","113.52","963.28K","-1.45%"
"07/21/2022","115.27","115.11","115.62","114.58","1.25M","-0.19%"
"07/20/2022","115.49","114.70","116.61","113.67","1.16M","1.18%"
"07/19/2022","114.14","111.74","114.62","111.58","1.20M","2.92%"
"07/18/2022","110.90","111.87","113.25","110.90","2.04M","0.25%"
"07/15/2022","110.62","109.29","111.34","109.00","3.09M","1.59%"
